assignment,due
Presemester Survey,2025-01-31 23:59:59
Project 1: Wordlexe2x84xa2-lite,2025-02-05 23:59:59
Project 2: Spelling Bee,2025-02-24 23:59:59
Project 3: 2048,2025-03-17 23:59:59
Project 4: Artifact + Documentation,2025-03-31 23:59:59
Project 4: Comments + Peer Feedback,2025-04-07 23:59:59
Project 5: Final Project Proposal,2025-04-14 23:59:59
Project 5: Final Project Submission,2025-04-14 23:59:59
Project 6: Final Project Proposal,2025-04-14 23:59:59
Project 6: Final Project Submission,2025-04-14 23:59:59
